winner,opponent_1,opponent_2,community_cards,winner_card_type
"Jd,Kd","Ks,Kc","4s,Ac","Td,3c,Qd,Ad,8c",Royal Flush
"6h,As","Ah,Ad","8c,Kc","7h,5h,9h,8h,Jc",Straight Flush
"Jd,Kd","Ks,Kc","7d,Kh","Jc,Jh,Js,4d,7c",Four of a Kind
"Kc,As","Qh,Ah","Qc,Ac","Jd,Kd,Ks,9c,Kh",Four of a Kind
"8h,As","Ah,Ad","4s,4c","8c,8d,Qh,9d,8s",Four of a Kind
"Kh,Ac","Jh,Ah","4c,Qc","Kc,Kd,Ks,8c,As",Four of a Kind
"Tc,Ac","Ts,Kh","3c,Kc","As,Ad,Ah,6c,7d",Four of a Kind
"Qc,Ks","Kd,Kh","2s,Ah","9c,Qs,6h,Qd,Qh",Four of a Kind
"5c,Ad","Kd,Ac","6d,Td","6c,9c,8c,4c,7c",Straight Flush
"Ts,Ac","Th,Td","8h,9d","As,Ad,Ah,9c,2d",Four of a Kind
"9s,Kd","9h,9d","Td,As","2d,Kh,Ks,Kc,4s",Four of a Kind
"Ks,Ac","Kd,Kh","8c,9s","As,4c,Kc,Ah,Ad",Four of a Kind
"Td,As","Jh,Ah","2s,Qs","Ac,7h,Th,Tc,Ts",Four of a Kind
"4d,Ah","3d,Ad","6c,Tc","4c,5c,Ac,4h,4s",Four of a Kind
"Kh,Ad","6s,As","7h,8h","Ac,Ks,9s,Kd,Kc",Four of a Kind
"9h,As","7d,Ah","3c,Jc","7s,9c,9d,3s,9s",Four of a Kind
"Qc,Kh","Qs,Ah","4c,Ac","Kd,Ks,Kc,Jc,3s",Four of a Kind
"Jc,Ac","Js,Ks","9c,Ts","Td,Ah,Ad,9s,As",Four of a Kind
"Js,Ah","6d,Ad","9s,Ts","Jd,Jc,5d,3d,Jh",Four of a Kind
"3c,Ad","Qc,Ac","8d,Ah","3d,3h,3s,6c,2h",Four of a Kind
"Js,As","Qs,Ah","8c,Tc","Jh,Jc,9s,Jd,Td",Four of a Kind
"Ts,Kc","Th,Ac","8s,Jd","Kh,Ks,9c,Kd,2h",Four of a Kind
"9c,9s","Kh,Ah","7s,Ad","3c,Ac,Qs,9h,9d",Four of a Kind
"6c,6h","Ah,Ad","5h,Qh","5s,Td,2c,6d,6s",Four of a Kind
"Tc,Th","5s,5h","9s,Qh","2d,Td,Ts,4h,6c",Four of a Kind
"9c,9s","Ah,Ad","Ks,Ac","Qh,Th,9h,2d,9d",Four of a Kind
"9c,9s","Kh,Ah","6c,Tc","7s,9d,9h,6h,2h",Four of a Kind
"5h,Ah","6c,6h","Js,Ac","4c,5c,5d,Jh,5s",Four of a Kind
